producto,fecha,cantidad
cebolla,2024-07-12,31
huevo,2024-07-12,59
tortilla,2024-07-12,120
leche,2024-07-12,46
frijol,2024-07-12,27
arroz,2024-07-12,22
pollo,2024-07-12,34
aguacate,2024-07-12,23
chile,2024-07-12,21
jitomate,2024-07-13,65
cebolla,2024-07-13,40
huevo,2024-07-13,66
tortilla,2024-07-13,128
leche,2024-07-13,71
frijol,2024-07-13,36
arroz,2024-07-13,33
pollo,2024-07-13,54
aguacate,2024-07-13,30
chile,2024-07-13,26
jitomate,2024-07-14,79
cebolla,2024-07-14,54
huevo,2024-07-14,104
tortilla,2024-07-14,197
leche,2024-07-14,86
frijol,2024-07-14,40
arroz,2024-07-14,47
pollo,2024-07-14,71
aguacate,2024-07-14,37
chile,2024-07-14,32
jitomate,2024-07-15,60
cebolla,2024-07-15,35
huevo,2024-07-15,57
tortilla,2024-07-15,120
leche,2024-07-15,66
frijol,2024-07-15,29
arroz,2024-07-15,40
pollo,2024-07-15,49
aguacate,2024-07-15,24
chile,2024-07-15,25
jitomate,2024-07-16,49
cebolla,2024-07-16,30
huevo,2024-07-16,82
tortilla,2024-07-16,114
leche,2024-07-16,57
frijol,2024-07-16,34
arroz,2024-07-16,38
pollo,2024-07-16,41
aguacate,2024-07-16,30
chile,2024-07-16,26
jitomate,2024-07-17,36
cebolla,2024-07-17,32
huevo,2024-07-17,61
tortilla,2024-07-17,123
leche,2024-07-17,37
frijol,2024-07-17,28
arroz,2024-07-17,27
pollo,2024-07-17,35
aguacate,2024-07-17,29
chile,2024-07-17,18
jitomate,2024-07-18,55
cebolla,2024-07-18,29
huevo,2024-07-18,64
tortilla,2024-07-18,85
leche,2024-07-18,46
frijol,2024-07-18,26
arroz,2024-07-18,27
pollo,2024-07-18,37
aguacate,2024-07-18,15
chile,2024-07-18,24
jitomate,2024-07-19,40
cebolla,2024-07-19,39
huevo,2024-07-19,52
tortilla,2024-07-19,96
leche,2024-07-19,75
frijol,2024-07-19,22
arroz,2024-07-19,22
pollo,2024-07-19,33
aguacate,2024-07-19,24
chile,2024-07-19,20
jitomate,2024-07-20,63
cebolla,2024-07-20,38
huevo,2024-07-20,60
tortilla,2024-07-20,112
leche,2024-07-20,79
frijol,2024-07-20,35
arroz,2024-07-20,26
pollo,2024-07-20,46
aguacate,2024-07-20,35
chile,2024-07-20,31
jitomate,2024-07-21,58
cebolla,2024-07-21,42
huevo,2024-07-21,65
tortilla,2024-07-21,104
leche,2024-07-21,67
frijol,2024-07-21,36
arroz,2024-07-21,40
pollo,2024-07-21,43
aguacate,2024-07-21,24
chile,2024-07-21,21
jitomate,2024-07-22,34
cebolla,2024-07-22,34
huevo,2024-07-22,40
tortilla,2024-07-22,87
leche,2024-07-22,54
frijol,2024-07-22,31
arroz,2024-07-22,29
pollo,2024-07-22,41
aguacate,2024-07-22,21
chile,2024-07-22,16
jitomate,2024-07-23,37
cebolla,2024-07-23,38
huevo,2024-07-23,70
tortilla,2024-07-23,99
leche,2024-07-23,76
frijol,2024-07-23,25
arroz,2024-07-23,31
pollo,2024-07-23,37
aguacate,2024-07-23,22
chile,2024-07-23,25
jitomate,2024-07-24,50
cebolla,2024-07-24,24
huevo,2024-07-24,58
tortilla,2024-07-24,98
leche,2024-07-24,57
frijol,2024-07-24,20
arroz,2024-07-24,19
pollo,2024-07-24,25
aguacate,2024-07-24,22
chile,2024-07-24,18
jitomate,2024-07-25,43
cebolla,2024-07-25,27
huevo,2024-07-25,50
tortilla,2024-07-25,64
leche,2024-07-25,54
frijol,2024-07-25,27
arroz,2024-07-25,33
pollo,2024-07-25,40
aguacate,2024-07-25,22
chile,2024-07-25,22
jitomate,2024-07-26,40
cebolla,2024-07-26,28
huevo,2024-07-26,56
tortilla,2024-07-26,84
leche,2024-07-26,34
frijol,2024-07-26,26
arroz,2024-07-26,30
pollo,2024-07-26,34
aguacate,2024-07-26,20
chile,2024-07-26,19
jitomate,2024-07-27,67
cebolla,2024-07-27,40
huevo,2024-07-27,74
tortilla,2024-07-27,109
leche,2024-07-27,66
frijol,2024-07-27,27
arroz,2024-07-27,36
pollo,2024-07-27,47
aguacate,2024-07-27,37
chile,2024-07-27,27
jitomate,2024-07-28,61
cebolla,2024-07-28,36
huevo,2024-07-28,88
tortilla,2024-07-28,99
leche,2024-07-28,69
frijol,2024-07-28,35
arroz,2024-07-28,33
pollo,2024-07-28,60
aguacate,2024-07-28,32
chile,2024-07-28,17
jitomate,2024-07-29,55
cebolla,2024-07-29,36
huevo,2024-07-29,77
tortilla,2024-07-29,123
leche,2024-07-29,67
frijol,2024-07-29,22
arroz,2024-07-29,29
pollo,2024-07-29,50
aguacate,2024-07-29,34
chile,2024-07-29,30
jitomate,2024-07-30,65
cebolla,2024-07-30,26
huevo,2024-07-30,85
tortilla,2024-07-30,82
leche,2024-07-30,79
frijol,2024-07-30,33
arroz,2024-07-30,30
pollo,2024-07-30,58
aguacate,2024-07-30,31
chile,2024-07-30,16
jitomate,2024-07-31,53
cebolla,2024-07-31,34
huevo,2024-07-31,78
tortilla,2024-07-31,107
leche,2024-07-31,77
frijol,2024-07-31,25
arroz,2024-07-31,37
pollo,2024-07-31,57
aguacate,2024-07-31,25
chile,2024-07-31,24
jitomate,2024-08-01,52
cebolla,2024-08-01,34
huevo,2024-08-01,82
tortilla,2024-08-01,114
leche,2024-08-01,54
frijol,2024-08-01,40
arroz,2024-08-01,39
pollo,2024-08-01,43
aguacate,2024-08-01,25
chile,2024-08-01,20
jitomate,2024-08-02,47
cebolla,2024-08-02,29
huevo,2024-08-02,64
tortilla,2024-08-02,88
leche,2024-08-02,55
frijol,2024-08-02,25
arroz,2024-08-02,31
pollo,2024-08-02,34
aguacate,2024-08-02,25
chile,2024-08-02,20
jitomate,2024-08-03,51
cebolla,2024-08-03,34
huevo,2024-08-03,67
tortilla,2024-08-03,104
leche,2024-08-03,55
frijol,2024-08-03,37
arroz,2024-08-03,36
pollo,2024-08-03,56
aguacate,2024-08-03,38
chile,2024-08-03,23
jitomate,2024-08-04,40
cebolla,2024-08-04,37
huevo,2024-08-04,77
tortilla,2024-08-04,91
leche,2024-08-04,63
frijol,2024-08-04,34
arroz,2024-08-04,34
pollo,2024-08-04,40
aguacate,2024-08-04,25
chile,2024-08-04,30
jitomate,2024-08-05,39
cebolla,2024-08-05,26
huevo,2024-08-05,57
tortilla,2024-08-05,103
leche,2024-08-05,45
frijol,2024-08-05,27
arroz,2024-08-05,31
pollo,2024-08-05,39
aguacate,2024-08-05,27
chile,2024-08-05,17
jitomate,2024-08-06,47
cebolla,2024-08-06,26
huevo,2024-08-06,56
tortilla,2024-08-06,106
leche,2024-08-06,56
frijol,2024-08-06,25
arroz,2024-08-06,23
pollo,2024-08-06,38
aguacate,2024-08-06,20
chile,2024-08-06,16
jitomate,2024-08-07,36
cebolla,2024-08-07,31
huevo,2024-08-07,41
tortilla,2024-08-07,95
leche,2024-08-07,51
frijol,2024-08-07,23
arroz,2024-08-07,32
pollo,2024-08-07,38
aguacate,2024-08-07,20
chile,2024-08-07,16
jitomate,2024-08-08,44
cebolla,2024-08-08,23
huevo,2024-08-08,57
tortilla,2024-08-08,81
leche,2024-08-08,51
frijol,2024-08-08,26
arroz,2024-08-08,28
pollo,2024-08-08,41
aguacate,2024-08-08,23
chile,2024-08-08,17
jitomate,2024-08-09,33
cebolla,2024-08-09,33
huevo,2024-08-09,65
tortilla,2024-08-09,110
leche,2024-08-09,44
frijol,2024-08-09,25
arroz,2024-08-09,28
pollo,2024-08-09,35
aguacate,2024-08-09,22
chile,2024-08-09,13
jitomate,2024-08-10,58
cebolla,2024-08-10,43
huevo,2024-08-10,91
tortilla,2024-08-10,156
leche,2024-08-10,62
frijol,2024-08-10,32
arroz,2024-08-10,36
pollo,2024-08-10,59
aguacate,2024-08-10,21
chile,2024-08-10,25
jitomate,2024-08-11,41
cebolla,2024-08-11,24
huevo,2024-08-11,54
tortilla,2024-08-11,93
leche,2024-08-11,75
frijol,2024-08-11,28
arroz,2024-08-11,35
pollo,2024-08-11,38
aguacate,2024-08-11,31
chile,2024-08-11,20
jitomate,2024-08-12,48
cebolla,2024-08-12,26
huevo,2024-08-12,53
tortilla,2024-08-12,92
leche,2024-08-12,50
frijol,2024-08-12,30
arroz,2024-08-12,29
pollo,2024-08-12,29
aguacate,2024-08-12,20
chile,2024-08-12,16
jitomate,2024-08-13,44
cebolla,2024-08-13,32
huevo,2024-08-13,59
tortilla,2024-08-13,102
leche,2024-08-13,46
frijol,2024-08-13,24
arroz,2024-08-13,29
pollo,2024-08-13,43
aguacate,2024-08-13,22
chile,2024-08-13,17
jitomate,2024-08-14,42
cebolla,2024-08-14,41
huevo,2024-08-14,68
tortilla,2024-08-14,118
leche,2024-08-14,45
frijol,2024-08-14,36
arroz,2024-08-14,28
pollo,2024-08-14,39
aguacate,2024-08-14,32
chile,2024-08-14,18
jitomate,2024-08-15,49
cebolla,2024-08-15,38
huevo,2024-08-15,64
tortilla,2024-08-15,135
leche,2024-08-15,77
frijol,2024-08-15,22
arroz,2024-08-15,27
pollo,2024-08-15,49
aguacate,2024-08-15,22
chile,2024-08-15,21
jitomate,2024-08-16,51
cebolla,2024-08-16,41
huevo,2024-08-16,72
tortilla,2024-08-16,114
leche,2024-08-16,55
frijol,2024-08-16,37
arroz,2024-08-16,32
pollo,2024-08-16,46
aguacate,2024-08-16,25
chile,2024-08-16,23
jitomate,2024-08-17,51
cebolla,2024-08-17,38
huevo,2024-08-17,66
tortilla,2024-08-17,131
leche,2024-08-17,79
frijol,2024-08-17,34
arroz,2024-08-17,40
pollo,2024-08-17,51
aguacate,2024-08-17,33
chile,2024-08-17,24
jitomate,2024-08-18,54
cebolla,2024-08-18,44
huevo,2024-08-18,79
tortilla,2024-08-18,100
leche,2024-08-18,65
frijol,2024-08-18,23
arroz,2024-08-18,36
pollo,2024-08-18,48
aguacate,2024-08-18,34
chile,2024-08-18,24
jitomate,2024-08-19,46
cebolla,2024-08-19,30
huevo,2024-08-19,51
tortilla,2024-08-19,71
leche,2024-08-19,43
frijol,2024-08-19,20
arroz,2024-08-19,31
pollo,2024-08-19,34
aguacate,2024-08-19,24
chile,2024-08-19,18
jitomate,2024-08-20,46
cebolla,2024-08-20,35
huevo,2024-08-20,54
tortilla,2024-08-20,86
leche,2024-08-20,46
frijol,2024-08-20,19
arroz,2024-08-20,31
pollo,2024-08-20,41
aguacate,2024-08-20,22
chile,2024-08-20,17
jitomate,2024-08-21,47
cebolla,2024-08-21,19
huevo,2024-08-21,62
tortilla,2024-08-21,92
leche,2024-08-21,46
frijol,2024-08-21,30
arroz,2024-08-21,32
pollo,2024-08-21,34
aguacate,2024-08-21,22
chile,2024-08-21,17
jitomate,2024-08-22,37
cebolla,2024-08-22,24
huevo,2024-08-22,72
tortilla,2024-08-22,104
leche,2024-08-22,56
frijol,2024-08-22,21
arroz,2024-08-22,37
pollo,2024-08-22,45
aguacate,2024-08-22,23
chile,2024-08-22,16
jitomate,2024-08-23,35
cebolla,2024-08-23,32
huevo,2024-08-23,52
tortilla,2024-08-23,90
leche,2024-08-23,58
frijol,2024-08-23,19
arroz,2024-08-23,36
pollo,2024-08-23,43
aguacate,2024-08-23,18
chile,2024-08-23,14
jitomate,2024-08-24,50
cebolla,2024-08-24,33
huevo,2024-08-24,75
tortilla,2024-08-24,72
leche,2024-08-24,63
frijol,2024-08-24,41
arroz,2024-08-24,30
pollo,2024-08-24,44
aguacate,2024-08-24,22
chile,2024-08-24,26
jitomate,2024-08-25,50
cebolla,2024-08-25,50
huevo,2024-08-25,80
tortilla,2024-08-25,110
leche,2024-08-25,70
frijol,2024-08-25,30
arroz,2024-08-25,29
pollo,2024-08-25,48
aguacate,2024-08-25,28
chile,2024-08-25,24
jitomate,2024-08-26,42
cebolla,2024-08-26,28
huevo,2024-08-26,64
tortilla,2024-08-26,113
leche,2024-08-26,42
frijol,2024-08-26,32
arroz,2024-08-26,27
pollo,2024-08-26,31
aguacate,2024-08-26,30
chile,2024-08-26,18
jitomate,2024-08-27,48
cebolla,2024-08-27,34
huevo,2024-08-27,45
tortilla,2024-08-27,92
leche,2024-08-27,46
frijol,2024-08-27,20
arroz,2024-08-27,21
pollo,2024-08-27,36
aguacate,2024-08-27,24
chile,2024-08-27,19
jitomate,2024-08-28,38
cebolla,2024-08-28,26
huevo,2024-08-28,51
tortilla,2024-08-28,83
leche,2024-08-28,42
frijol,2024-08-28,24
arroz,2024-08-28,28
pollo,2024-08-28,30
aguacate,2024-08-28,21
chile,2024-08-28,16
jitomate,2024-08-29,50
cebolla,2024-08-29,40
huevo,2024-08-29,77
tortilla,2024-08-29,120
leche,2024-08-29,47
frijol,2024-08-29,29
arroz,2024-08-29,36
pollo,2024-08-29,48
aguacate,2024-08-29,21
chile,2024-08-29,23
jitomate,2024-08-30,59
cebolla,2024-08-30,36
huevo,2024-08-30,74
tortilla,2024-08-30,120
leche,2024-08-30,65
frijol,2024-08-30,34
arroz,2024-08-30,35
pollo,2024-08-30,45
aguacate,2024-08-30,24
chile,2024-08-30,22
jitomate,2024-08-31,77
cebolla,2024-08-31,47
huevo,2024-08-31,95
tortilla,2024-08-31,135
leche,2024-08-31,91
frijol,2024-08-31,35
arroz,2024-08-31,52
pollo,2024-08-31,49
aguacate,2024-08-31,30
chile,2024-08-31,30
jitomate,2024-09-01,68
cebolla,2024-09-01,52
huevo,2024-09-01,116
tortilla,2024-09-01,141
leche,2024-09-01,89
frijol,2024-09-01,36
arroz,2024-09-01,56
pollo,2024-09-01,64
aguacate,2024-09-01,40
chile,2024-09-01,31
jitomate,2024-09-02,36
cebolla,2024-09-02,29
huevo,2024-09-02,66
tortilla,2024-09-02,92
leche,2024-09-02,52
frijol,2024-09-02,20
arroz,2024-09-02,30
pollo,2024-09-02,32
aguacate,2024-09-02,19
chile,2024-09-02,18
jitomate,2024-09-03,30
cebolla,2024-09-03,34
huevo,2024-09-03,70
tortilla,2024-09-03,92
leche,2024-09-03,44
frijol,2024-09-03,22
arroz,2024-09-03,28
pollo,2024-09-03,23
aguacate,2024-09-03,23
chile,2024-09-03,20
jitomate,2024-09-04,39
cebolla,2024-09-04,29
huevo,2024-09-04,63
tortilla,2024-09-04,98
leche,2024-09-04,60
frijol,2024-09-04,26
arroz,2024-09-04,26
pollo,2024-09-04,34
aguacate,2024-09-04,23
chile,2024-09-04,23
jitomate,2024-09-05,39
cebolla,2024-09-05,26
huevo,2024-09-05,54
tortilla,2024-09-05,64
leche,2024-09-05,54
frijol,2024-09-05,20
arroz,2024-09-05,24
pollo,2024-09-05,25
aguacate,2024-09-05,19
chile,2024-09-05,20
jitomate,2024-09-06,33
cebolla,2024-09-06,23
huevo,2024-09-06,63
tortilla,2024-09-06,88
leche,2024-09-06,55
frijol,2024-09-06,29
arroz,2024-09-06,29
pollo,2024-09-06,29
aguacate,2024-09-06,22
chile,2024-09-06,20
jitomate,2024-09-07,49
cebolla,2024-09-07,32
huevo,2024-09-07,94
tortilla,2024-09-07,113
leche,2024-09-07,63
frijol,2024-09-07,34
arroz,2024-09-07,43
pollo,2024-09-07,49
aguacate,2024-09-07,28
chile,2024-09-07,27
jitomate,2024-09-08,71
cebolla,2024-09-08,49
huevo,2024-09-08,88
tortilla,2024-09-08,100
leche,2024-09-08,105
frijol,2024-09-08,27
arroz,2024-09-08,35
pollo,2024-09-08,42
aguacate,2024-09-08,37
chile,2024-09-08,26
jitomate,2024-09-09,32
cebolla,2024-09-09,32
huevo,2024-09-09,67
tortilla,2024-09-09,88
leche,2024-09-09,42
frijol,2024-09-09,23
arroz,2024-09-09,27
pollo,2024-09-09,36
aguacate,2024-09-09,21
chile,2024-09-09,21
jitomate,2024-09-10,35
cebolla,2024-09-10,23
huevo,2024-09-10,55
tortilla,2024-09-10,111
leche,2024-09-10,47
frijol,2024-09-10,35
arroz,2024-09-10,31
pollo,2024-09-10,30
aguacate,2024-09-10,20
chile,2024-09-10,19
jitomate,2024-09-11,34
cebolla,2024-09-11,42
huevo,2024-09-11,53
tortilla,2024-09-11,102
leche,2024-09-11,63
frijol,2024-09-11,25
arroz,2024-09-11,25
pollo,2024-09-11,35
aguacate,2024-09-11,24
chile,2024-09-11,21
jitomate,2024-09-12,42
cebolla,2024-09-12,24
huevo,2024-09-12,62
tortilla,2024-09-12,83
leche,2024-09-12,35
frijol,2024-09-12,23
arroz,2024-09-12,23
pollo,2024-09-12,39
aguacate,2024-09-12,29
chile,2024-09-12,24
jitomate,2024-09-13,38
cebolla,2024-09-13,29
huevo,2024-09-13,68
tortilla,2024-09-13,107
leche,2024-09-13,48
frijol,2024-09-13,25
arroz,2024-09-13,38
pollo,2024-09-13,35
aguacate,2024-09-13,21
chile,2024-09-13,19
jitomate,2024-09-14,73
cebolla,2024-09-14,43
huevo,2024-09-14,97
tortilla,2024-09-14,124
leche,2024-09-14,80
frijol,2024-09-14,54
arroz,2024-09-14,52
pollo,2024-09-14,58
aguacate,2024-09-14,32
chile,2024-09-14,29
jitomate,2024-09-15,78
cebolla,2024-09-15,46
huevo,2024-09-15,122
tortilla,2024-09-15,120
leche,2024-09-15,80
frijol,2024-09-15,53
arroz,2024-09-15,33
pollo,2024-09-15,69
aguacate,2024-09-15,27
chile,2024-09-15,30
jitomate,2024-09-16,50
cebolla,2024-09-16,43
huevo,2024-09-16,41
tortilla,2024-09-16,83
leche,2024-09-16,59
frijol,2024-09-16,32
arroz,2024-09-16,31
pollo,2024-09-16,44
aguacate,2024-09-16,23
chile,2024-09-16,22
jitomate,2024-09-17,36
cebolla,2024-09-17,32
huevo,2024-09-17,67
tortilla,2024-09-17,113
leche,2024-09-17,46
frijol,2024-09-17,25
arroz,2024-09-17,29
pollo,2024-09-17,34
aguacate,2024-09-17,22
chile,2024-09-17,14
jitomate,2024-09-18,43
cebolla,2024-09-18,27
huevo,2024-09-18,53
tortilla,2024-09-18,71
leche,2024-09-18,60
frijol,2024-09-18,25
arroz,2024-09-18,34
pollo,2024-09-18,38
aguacate,2024-09-18,17
chile,2024-09-18,16
jitomate,2024-09-19,46
cebolla,2024-09-19,27
huevo,2024-09-19,52
tortilla,2024-09-19,90
leche,2024-09-19,50
frijol,2024-09-19,22
arroz,2024-09-19,27
pollo,2024-09-19,33
aguacate,2024-09-19,14
chile,2024-09-19,20
jitomate,2024-09-20,36
cebolla,2024-09-20,37
huevo,2024-09-20,51
tortilla,2024-09-20,71
leche,2024-09-20,61
frijol,2024-09-20,20
arroz,2024-09-20,26
pollo,2024-09-20,39
aguacate,2024-09-20,22
chile,2024-09-20,14
jitomate,2024-09-21,55
cebolla,2024-09-21,39
huevo,2024-09-21,96
tortilla,2024-09-21,131
leche,2024-09-21,97
frijol,2024-09-21,25
arroz,2024-09-21,37
pollo,2024-09-21,39
aguacate,2024-09-21,35
chile,2024-09-21,27
jitomate,2024-09-22,60
cebolla,2024-09-22,35
huevo,2024-09-22,71
tortilla,2024-09-22,84
leche,2024-09-22,84
frijol,2024-09-22,36
arroz,2024-09-22,36
pollo,2024-09-22,53
aguacate,2024-09-22,33
chile,2024-09-22,28
jitomate,2024-09-23,31
cebolla,2024-09-23,28
huevo,2024-09-23,64
tortilla,2024-09-23,98
leche,2024-09-23,59
frijol,2024-09-23,22
arroz,2024-09-23,29
pollo,2024-09-23,48
aguacate,2024-09-23,25
chile,2024-09-23,21
jitomate,2024-09-24,41
cebolla,2024-09-24,34
huevo,2024-09-24,79
tortilla,2024-09-24,94
leche,2024-09-24,61
frijol,2024-09-24,22
arroz,2024-09-24,31
pollo,2024-09-24,41
aguacate,2024-09-24,20
chile,2024-09-24,22
jitomate,2024-09-25,37
cebolla,2024-09-25,27
huevo,2024-09-25,62
tortilla,2024-09-25,120
leche,2024-09-25,54
frijol,2024-09-25,29
arroz,2024-09-25,26
pollo,2024-09-25,36
aguacate,2024-09-25,19
chile,2024-09-25,17
jitomate,2024-09-26,46
cebolla,2024-09-26,31
huevo,2024-09-26,75
tortilla,2024-09-26,90
leche,2024-09-26,50
frijol,2024-09-26,31
arroz,2024-09-26,26
pollo,2024-09-26,28
aguacate,2024-09-26,27
chile,2024-09-26,20
jitomate,2024-09-27,28
cebolla,2024-09-27,31
huevo,2024-09-27,58
tortilla,2024-09-27,117
leche,2024-09-27,46
frijol,2024-09-27,24
arroz,2024-09-27,25
pollo,2024-09-27,30
aguacate,2024-09-27,20
chile,2024-09-27,15
jitomate,2024-09-28,45
cebolla,2024-09-28,30
huevo,2024-09-28,62
tortilla,2024-09-28,92
leche,2024-09-28,62
frijol,2024-09-28,30
arroz,2024-09-28,31
pollo,2024-09-28,50
aguacate,2024-09-28,29
chile,2024-09-28,23
jitomate,2024-09-29,62
cebolla,2024-09-29,62
huevo,2024-09-29,104
tortilla,2024-09-29,161
leche,2024-09-29,51
frijol,2024-09-29,38
arroz,2024-09-29,32
pollo,2024-09-29,55
aguacate,2024-09-29,39
chile,2024-09-29,27
jitomate,2024-09-30,56
cebolla,2024-09-30,33
huevo,2024-09-30,84
tortilla,2024-09-30,89
leche,2024-09-30,62
frijol,2024-09-30,34
arroz,2024-09-30,39
pollo,2024-09-30,44
aguacate,2024-09-30,37
chile,2024-09-30,22
jitomate,2024-10-01,49
cebolla,2024-10-01,23
huevo,2024-10-01,100
tortilla,2024-10-01,112
leche,2024-10-01,54
frijol,2024-10-01,39
arroz,2024-10-01,44
pollo,2024-10-01,47
aguacate,2024-10-01,23
chile,2024-10-01,25
jitomate,2024-10-02,38
cebolla,2024-10-02,26
huevo,2024-10-02,73
tortilla,2024-10-02,64
leche,2024-10-02,57
frijol,2024-10-02,28
arroz,2024-10-02,38
pollo,2024-10-02,39
aguacate,2024-10-02,16
chile,2024-10-02,17
jitomate,2024-10-03,42
cebolla,2024-10-03,33
huevo,2024-10-03,72
tortilla,2024-10-03,67
leche,2024-10-03,50
frijol,2024-10-03,30
arroz,2024-10-03,36
pollo,2024-10-03,47
aguacate,2024-10-03,22
chile,2024-10-03,22
jitomate,2024-10-04,53
cebolla,2024-10-04,37
huevo,2024-10-04,70
tortilla,2024-10-04,106
leche,2024-10-04,46
frijol,2024-10-04,21
arroz,2024-10-04,34
pollo,2024-10-04,35
aguacate,2024-10-04,23
chile,2024-10-04,17
jitomate,2024-10-05,51
cebolla,2024-10-05,42
huevo,2024-10-05,69
tortilla,2024-10-05,124
leche,2024-10-05,71
frijol,2024-10-05,34
arroz,2024-10-05,34
pollo,2024-10-05,53
aguacate,2024-10-05,38
chile,2024-10-05,22
jitomate,2024-10-06,65
cebolla,2024-10-06,46
huevo,2024-10-06,49
tortilla,2024-10-06,109
leche,2024-10-06,62
frijol,2024-10-06,38
arroz,2024-10-06,39
pollo,2024-10-06,51
aguacate,2024-10-06,33
chile,2024-10-06,21
jitomate,2024-10-07,37
cebolla,2024-10-07,26
huevo,2024-10-07,61
tortilla,2024-10-07,93
leche,2024-10-07,54
frijol,2024-10-07,23
arroz,2024-10-07,33
pollo,2024-10-07,42
aguacate,2024-10-07,28
chile,2024-10-07,21
jitomate,2024-10-08,43
cebolla,2024-10-08,35
huevo,2024-10-08,69
tortilla,2024-10-08,85
leche,2024-10-08,63
frijol,2024-10-08,33
arroz,2024-10-08,38
pollo,2024-10-08,37
aguacate,2024-10-08,24
chile,2024-10-08,20
jitomate,2024-10-09,42
cebolla,2024-10-09,34
huevo,2024-10-09,62
tortilla,2024-10-09,92
leche,2024-10-09,66
frijol,2024-10-09,27
arroz,2024-10-09,30
pollo,2024-10-09,42
aguacate,2024-10-09,24
chile,2024-10-09,20
jitomate,2024-10-10,42
cebolla,2024-10-10,26
huevo,2024-10-10,63
tortilla,2024-10-10,78
leche,2024-10-10,54
frijol,2024-10-10,22
arroz,2024-10-10,33
pollo,2024-10-10,41
aguacate,2024-10-10,24
chile,2024-10-10,19
jitomate,2024-10-11,45
cebolla,2024-10-11,22
huevo,2024-10-11,53
tortilla,2024-10-11,92
leche,2024-10-11,55
frijol,2024-10-11,26
arroz,2024-10-11,25
pollo,2024-10-11,37
